cell,longtitude,latitude
63766,-112.072754,33.446884
30873,-111.709378,33.44696
106958,-111.92598,33.447941
57138,-112.075774,33.44826
2570,-112.075774,33.44926
105394,-112.075774,33.44826
11463,-112.075774,33.44926
31783,-112.075774,33.44826
4829,-112.075774,33.44926
56374,-112.075774,33.44826
36012,-112.075774,33.44926
42599,-112.075774,33.44826
39997,-112.075774,33.44926
33463,-112.075774,33.44826
70185,-112.075774,33.44926
1455,-112.075774,33.44826
71818,-112.075774,33.44926
108,-112.075774,33.44826
42641,-112.075774,33.44926
106346,-112.075774,33.44826
69258,-112.075774,33.44926
20898,-112.075774,33.44826
58756,-112.075774,33.44926
66959,-112.075774,33.44826
64696,-112.075774,33.44926
15273,-112.075774,33.44826
71741,-112.075774,33.44926
67263,-112.075774,33.44826
43616,-112.075774,33.44926
62718,-112.075774,33.44826
59428,-112.075774,33.44926
31660,-112.075774,33.44826
4542,-112.075774,33.44926
97477,-112.075774,33.44826
1502,-112.075774,33.44926
57077,-112.075774,33.44826
65114,-112.075774,33.44926
88801,-112.075774,33.44826
53926,-112.075774,33.44926
47558,-112.075774,33.44826
